method,split,accuracy,min_sim,regionality,alpha,useTermsSimilarity,N
"CLIP,ms=0.0,r=16,al=0.0,ts=True",1,0.7228011671529804,0.0,16.0,0.0,True,5
"CLIP,ms=0.0,r=16,al=0.0,ts=True",1,0.6877470355731226,0.0,16.0,0.0,True,6
"CLIP,ms=0.0,r=16,al=0.0,ts=True",1,0.6669868715978227,0.0,16.0,0.0,True,7
"CLIP,ms=0.0,r=16,al=0.0,ts=True",1,0.6450102429031314,0.0,16.0,0.0,True,8
"CLIP,ms=0.0,r=16,al=0.0,ts=True",1,0.6273920174958993,0.0,16.0,0.0,True,9
"CLIP,ms=0.0,r=16,al=0.0,ts=True",1,0.6159420289855072,0.0,16.0,0.0,True,10
"CLIP,ms=0.0,r=16,al=0.0,ts=True",2,0.912,0.0,16.0,0.0,True,1
"CLIP,ms=0.0,r=16,al=0.0,ts=True",2,0.8772635814889336,0.0,16.0,0.0,True,2
"CLIP,ms=0.0,r=16,al=0.0,ts=True",2,0.812288993923025,0.0,16.0,0.0,True,3
"CLIP,ms=0.0,r=16,al=0.0,ts=True",2,0.7663071391884951,0.0,16.0,0.0,True,4
"CLIP,ms=0.0,r=16,al=0.0,ts=True",2,0.728421052631579,0.0,16.0,0.0,True,5
"CLIP,ms=0.0,r=16,al=0.0,ts=True",2,0.6977584960231381,0.0,16.0,0.0,True,6
"CLIP,ms=0.0,r=16,al=0.0,ts=True",2,0.6670959433354797,0.0,16.0,0.0,True,7
"CLIP,ms=0.0,r=16,al=0.0,ts=True",2,0.6461402474955804,0.0,16.0,0.0,True,8
"CLIP,ms=0.0,r=16,al=0.0,ts=True",2,0.6322155030236394,0.0,16.0,0.0,True,9
"CLIP,ms=0.0,r=16,al=0.0,ts=True",2,0.6199636080062386,0.0,16.0,0.0,True,10
"CLIP,ms=0.0,r=16,al=0.0,ts=True",3,0.898,0.0,16.0,0.0,True,1
"CLIP,ms=0.0,r=16,al=0.0,ts=True",3,0.8611670020120724,0.0,16.0,0.0,True,2
"CLIP,ms=0.0,r=16,al=0.0,ts=True",3,0.8209459459459459,0.0,16.0,0.0,True,3
"CLIP,ms=0.0,r=16,al=0.0,ts=True",3,0.7729145211122554,0.0,16.0,0.0,True,4
"CLIP,ms=0.0,r=16,al=0.0,ts=True",3,0.7270429654591407,0.0,16.0,0.0,True,5
"CLIP,ms=0.0,r=16,al=0.0,ts=True",3,0.6931982633863966,0.0,16.0,0.0,True,6
"CLIP,ms=0.0,r=16,al=0.0,ts=True",3,0.6669893514036787,0.0,16.0,0.0,True,7
"CLIP,ms=0.0,r=16,al=0.0,ts=True",3,0.6443071491615181,0.0,16.0,0.0,True,8
"CLIP,ms=0.0,r=16,al=0.0,ts=True",3,0.6232558139534884,0.0,16.0,0.0,True,9
"CLIP,ms=0.0,r=16,al=0.0,ts=True",3,0.6122607346094154,0.0,16.0,0.0,True,10
"CLIP,ms=0.0,r=16,al=0.0,ts=True",4,0.926,0.0,16.0,0.0,True,1
